Anciennes régions;Nouvelles régions;Code nouvelles régions
Guadeloupe;Guadeloupe;1
Martinique;Martinique;2
Guyane;Guyane;3
La Réunion;La Réunion;4
Mayotte;Mayotte;6
Île-de-France;Île-de-France;11
Centre;Centre-Val de Loire;24
Bourgogne;Bourgogne-Franche-Comté;27
Franche-Comté;Bourgogne-Franche-Comté;27
Basse-Normandie;Normandie;28
Haute-Normandie;Normandie;28
Nord-Pas-de-Calais;Nord-Pas-de-Calais-Picardie;32
Picardie;Nord-Pas-de-Calais-Picardie;32
Alsace;Alsace-Champagne-Ardenne-Lorraine;44
Champagne-Ardenne;Alsace-Champagne-Ardenne-Lorraine;44
Lorraine;Alsace-Champagne-Ardenne-Lorraine;44
Pays de la Loire;Pays de la Loire;52
Bretagne;Bretagne;53
Aquitaine;Aquitaine-Limousin-Poitou-Charentes;75
Limousin;Aquitaine-Limousin-Poitou-Charentes;75
Poitou-Charentes;Aquitaine-Limousin-Poitou-Charentes;75
Languedoc-Roussillon;Languedoc-Roussillon-Midi-Pyrénées;76
Midi-Pyrénées;Languedoc-Roussillon-Midi-Pyrénées;76
Auvergne;Auvergne-Rhône-Alpes;84
Rhône-Alpes;Auvergne-Rhône-Alpes;84
Provence-Alpes-Côte d'Azur;Provence-Alpes-Côte d'Azur;93
Corse;Corse;94
